estimator,min_score,mean_score,max_score,std_score,C,gamma,kernel,learning_rate,n_estimators
SVC,0.8477366255144033,0.8541006094132991,0.860655737704918,0.005275937015161589,10,0.001,rbf,,
RandomForestClassifier,0.8292181069958847,0.8458729676853539,0.8586065573770492,0.012314017179080303,,,,,32
SVC,0.8135245901639344,0.8363326137309137,0.8621399176954733,0.01996011489491284,1,,linear,,
SVC,0.819672131147541,0.8356383098338167,0.8580246913580247,0.01630222831465765,10,,linear,,
GradientBoostingClassifier,0.823045267489712,0.8328723380332367,0.8395061728395061,0.007089330814164026,,,,1.0,32
GradientBoostingClassifier,0.8024691358024691,0.8287543007488362,0.845679012345679,0.018841212326552063,,,,0.8,32
GradientBoostingClassifier,0.8024691358024691,0.8260080055769188,0.8401639344262295,0.01675816509694991,,,,1.0,16
GradientBoostingClassifier,0.8106995884773662,0.8253305673615327,0.8340163934426229,0.010405991217752052,,,,0.8,16
SVC,0.8032786885245902,0.8198857631158786,0.8395061728395061,0.014942507518523869,10,0.0001,rbf,,
SVC,0.8073770491803278,0.8198801412219748,0.8374485596707819,0.012788460540729088,1,0.001,rbf,,
RandomForestClassifier,0.808641975308642,0.8191605388023117,0.8319672131147541,0.009658960193076622,,,,,16
AdaBoostClassifier,0.7592592592592593,0.784240144819987,0.8045267489711934,0.018776112744102038,,,,,32
AdaBoostClassifier,0.7663934426229508,0.7739829993928354,0.7839506172839507,0.00736229024789817,,,,,16
SVC,0.6790123456790124,0.684246328903281,0.6893004115226338,0.004202011254261398,1,0.0001,rbf,,
